product_id,product_name,description,unit_of_measure,category_id,supplier_id,reorder_level,unit_price,image_path,is_active,
10001,Power Milk,Power Milk description,pcs,1013,1055,24,253.45,img/no-image-available.jpg,TRUE,"{10001,""Power Milk"",""Power Milk description"",""pcs"",1013,1055,24,253.45,""img/no-image-available.jpg"",true},"
10002,Figure Soap,Figure Soap description,kg,1012,1060,49,391.15,img/no-image-available.jpg,TRUE,"{10002,""Figure Soap"",""Figure Soap description"",""kg"",1012,1060,49,391.15,""img/no-image-available.jpg"",true},"
10003,Area Milk,Area Milk description,kg,1017,1059,31,189.95,img/no-image-available.jpg,TRUE,"{10003,""Area Milk"",""Area Milk description"",""kg"",1017,1059,31,189.95,""img/no-image-available.jpg"",true},"
10004,Beyond Cereal,Beyond Cereal description,liters,1007,1049,24,251.12,img/no-image-available.jpg,TRUE,"{10004,""Beyond Cereal"",""Beyond Cereal description"",""liters"",1007,1049,24,251.12,""img/no-image-available.jpg"",true},"
10005,Many Toothpaste,Many Toothpaste description,pcs,1008,1100,49,476.49,img/no-image-available.jpg,TRUE,"{10005,""Many Toothpaste"",""Many Toothpaste description"",""pcs"",1008,1100,49,476.49,""img/no-image-available.jpg"",true},"
10006,Put Soda,Put Soda description,liters,1019,1060,15,249.82,img/no-image-available.jpg,TRUE,"{10006,""Put Soda"",""Put Soda description"",""liters"",1019,1060,15,249.82,""img/no-image-available.jpg"",true},"
10007,Actually Soap,Actually Soap description,kg,1020,1015,29,155.76,img/no-image-available.jpg,TRUE,"{10007,""Actually Soap"",""Actually Soap description"",""kg"",1020,1015,29,155.76,""img/no-image-available.jpg"",true},"
10008,Cost Bread,Cost Bread description,pcs,1020,1057,15,474.13,img/no-image-available.jpg,TRUE,"{10008,""Cost Bread"",""Cost Bread description"",""pcs"",1020,1057,15,474.13,""img/no-image-available.jpg"",true},"
10009,Benefit Milk,Benefit Milk description,kg,1013,1018,24,59.97,img/no-image-available.jpg,TRUE,"{10009,""Benefit Milk"",""Benefit Milk description"",""kg"",1013,1018,24,59.97,""img/no-image-available.jpg"",true},"
10010,Real Detergent,Real Detergent description,pcs,1003,1067,50,281.32,img/no-image-available.jpg,TRUE,"{10010,""Real Detergent"",""Real Detergent description"",""pcs"",1003,1067,50,281.32,""img/no-image-available.jpg"",true},"
10011,Sure Soda,Sure Soda description,liters,1016,1008,24,357.67,img/no-image-available.jpg,TRUE,"{10011,""Sure Soda"",""Sure Soda description"",""liters"",1016,1008,24,357.67,""img/no-image-available.jpg"",true},"
10012,High Detergent,High Detergent description,pcs,1013,1077,37,427.77,img/no-image-available.jpg,TRUE,"{10012,""High Detergent"",""High Detergent description"",""pcs"",1013,1077,37,427.77,""img/no-image-available.jpg"",true},"
10013,Executive Rice,Executive Rice description,pcs,1003,1009,13,207.75,img/no-image-available.jpg,TRUE,"{10013,""Executive Rice"",""Executive Rice description"",""pcs"",1003,1009,13,207.75,""img/no-image-available.jpg"",true},"
10014,Middle Soda,Middle Soda description,pcs,1003,1100,30,270.29,img/no-image-available.jpg,TRUE,"{10014,""Middle Soda"",""Middle Soda description"",""pcs"",1003,1100,30,270.29,""img/no-image-available.jpg"",true},"
10015,Rather Juice,Rather Juice description,pcs,1017,1030,32,326.73,img/no-image-available.jpg,TRUE,"{10015,""Rather Juice"",""Rather Juice description"",""pcs"",1017,1030,32,326.73,""img/no-image-available.jpg"",true},"
10016,Cell Chicken,Cell Chicken description,kg,1019,1099,30,452.32,img/no-image-available.jpg,TRUE,"{10016,""Cell Chicken"",""Cell Chicken description"",""kg"",1019,1099,30,452.32,""img/no-image-available.jpg"",true},"
